# For a description of the format of this file, see $WCSIM_SOURCE_DIR/doc/PMTPositionTableFormat.md

#DATASTART
4 22 0 2806.44000000 -2143.30000000 -2840.00000000 -0.707107 0.707107 0.00000000 0 1
4 23 0 3259.38000000 -1358.80000000 -2840.00000000 -0.965926 0.258819 0.00000000 0 1
4 24 0 3502.10000000 -452.93300000 -2840.00000000 -0.965926 0.258819 0.00000000 0 1
4 25 0 3502.10000000 452.93300000 -2130.00000000 -0.965926 -0.258819 0.00000000 0 1
4 26 0 3259.38000000 1358.80000000 -2130.00000000 -0.965926 -0.258819 0.00000000 0 1
4 27 0 2806.44000000 2143.30000000 -2130.00000000 -0.707107 -0.707107 0.00000000 0 1
4 28 0 2143.30000000 2806.44000000 -2130.00000000 -0.707107 -0.707107 0.00000000 0 1
4 29 0 1358.80000000 3259.38000000 -2130.00000000 -0.258819 -0.965926 0.00000000 0 1
4 30 0 452.93300000 3502.10000000 -2130.00000000 -0.258819 -0.965926 0.00000000 0 1
4 31 0 -452.93300000 3502.10000000 -2130.00000000 0.258819 -0.965926 0.00000000 0 1
4 32 0 -1358.80000000 3259.38000000 -2130.00000000 0.258819 -0.965926 0.00000000 0 1
4 33 0 -2143.30000000 2806.44000000 -2130.00000000 0.707107 -0.707107 0.00000000 0 1
4 34 0 -2806.44000000 2143.30000000 -2130.00000000 0.707107 -0.707107 0.00000000 0 1
4 35 0 -3259.38000000 1358.80000000 -2130.00000000 0.965926 -0.258819 0.00000000 0 1
4 36 0 -3502.10000000 452.93300000 -2130.00000000 0.965926 -0.258819 0.00000000 0 1
4 37 0 -3502.10000000 -452.93300000 -2130.00000000 0.965926 0.258819 0.00000000 0 1
4 38 0 -3259.38000000 -1358.80000000 -2130.00000000 0.965926 0.258819 0.00000000 0 1
4 39 0 -2806.44000000 -2143.30000000 -2130.00000000 0.707107 0.707107 0.00000000 0 1
4 40 0 -2143.30000000 -2806.44000000 -2130.00000000 0.707107 0.707107 0.00000000 0 1
4 41 0 -1358.80000000 -3259.38000000 -2130.00000000 0.258819 0.965926 0.00000000 0 1
4 42 0 -452.93300000 -3502.10000000 -2130.00000000 0.258819 0.965926 0.00000000 0 1
4 43 0 452.93300000 -3502.10000000 -2130.00000000 -0.258819 0.965926 0.00000000 0 1
4 44 0 1358.80000000 -3259.38000000 -2130.00000000 -0.258819 0.965926 0.00000000 0 1
4 45 0 2143.30000000 -2806.44000000 -2130.00000000 -0.707107 0.707107 0.00000000 0 1
4 46 0 2806.44000000 -2143.30000000 -2130.00000000 -0.707107 0.707107 0.00000000 0 1
4 47 0 3259.38000000 -1358.80000000 -2130.00000000 -0.965926 0.258819 0.00000000 0 1
4 48 0 3502.10000000 -452.93300000 -2130.00000000 -0.965926 0.258819 0.00000000 0 1
4 49 0 3502.10000000 452.93300000 -1420.00000000 -0.965926 -0.258819 0.00000000 0 1
4 50 0 3259.38000000 1358.80000000 -1420.00000000 -0.965926 -0.258819 0.00000000 0 1
4 51 0 2806.44000000 2143.30000000 -1420.00000000 -0.707107 -0.707107 0.00000000 0 1
4 52 0 2143.30000000 2806.44000000 -1420.00000000 -0.707107 -0.707107 0.00000000 0 1
4 53 0 1358.80000000 3259.38000000 -1420.00000000 -0.258819 -0.965926 0.00000000 0 1
4 54 0 452.93300000 3502.10000000 -1420.00000000 -0.258819 -0.965926 0.00000000 0 1
4 55 0 -452.93300000 3502.10000000 -1420.00000000 0.258819 -0.965926 0.00000000 0 1
4 56 0 -1358.80000000 3259.38000000 -1420.00000000 0.258819 -0.965926 0.00000000 0 1
4 57 0 -2143.30000000 2806.44000000 -1420.00000000 0.707107 -0.707107 0.00000000 0 1
4 58 0 -2806.44000000 2143.30000000 -1420.00000000 0.707107 -0.707107 0.00000000 0 1
4 59 0 -3259.38000000 1358.80000000 -1420.00000000 0.965926 -0.258819 0.00000000 0 1
4 60 0 -3502.10000000 452.93300000 -1420.00000000 0.965926 -0.258819 0.00000000 0 1
4 61 0 -3502.10000000 -452.93300000 -1420.00000000 0.965926 0.258819 0.00000000 0 1
4 62 0 -3259.38000000 -1358.80000000 -1420.00000000 0.965926 0.258819 0.00000000 0 1
4 63 0 -2806.44000000 -2143.30000000 -1420.00000000 0.707107 0.707107 0.00000000 0 1
4 64 0 -2143.30000000 -2806.44000000 -1420.00000000 0.707107 0.707107 0.00000000 0 1
4 65 0 -1358.80000000 -3259.38000000 -1420.00000000 0.258819 0.965926 0.00000000 0 1
4 66 0 -452.93300000 -3502.10000000 -1420.00000000 0.258819 0.965926 0.00000000 0 1
4 67 0 452.93300000 -3502.10000000 -1420.00000000 -0.258819 0.965926 0.00000000 0 1
4 68 0 1358.80000000 -3259.38000000 -1420.00000000 -0.258819 0.965926 0.00000000 0 1
4 69 0 2143.30000000 -2806.44000000 -1420.00000000 -0.707107 0.707107 0.00000000 0 1
4 70 0 2806.44000000 -2143.30000000 -1420.00000000 -0.707107 0.707107 0.00000000 0 1
4 71 0 3259.38000000 -1358.80000000 -1420.00000000 -0.965926 0.258819 0.00000000 0 1
4 72 0 3502.10000000 -452.93300000 -1420.00000000 -0.965926 0.258819 0.00000000 0 1
4 73 0 3502.10000000 452.93300000 -710.00000000 -0.965926 -0.258819 0.00000000 0 1
4 74 0 3259.38000000 1358.80000000 -710.00000000 -0.965926 -0.258819 0.00000000 0 1
4 75 0 2806.44000000 2143.30000000 -710.00000000 -0.707107 -0.707107 0.00000000 0 1
4 76 0 2143.30000000 2806.44000000 -710.00000000 -0.707107 -0.707107 0.00000000 0 1
4 77 0 1358.80000000 3259.38000000 -710.00000000 -0.258819 -0.965926 0.00000000 0 1
4 78 0 452.93300000 3502.10000000 -710.00000000 -0.258819 -0.965926 0.00000000 0 1
4 79 0 -452.93300000 3502.10000000 -710.00000000 0.258819 -0.965926 0.00000000 0 1
