# For a description of the format of this file, see $WCSIM_SOURCE_DIR/doc/PMTPositionTableFormat.md

#DATASTART
1 176 10 1523.30264607 -3444.09495346 1065.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 177 10 2221.02239971 -3041.26626588 1065.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 178 10 3041.26626588 -2221.02239971 1065.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 179 10 3444.09495346 -1523.30264607 1065.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 180 10 3744.32504578 -402.82868758 1065.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 181 10 3594.20999962 963.06566683 1420.00000000 0.96592583 0.25881905 0.00000000 0 1
1 182 10 2631.14433280 2631.14433280 1420.00000000 0.70710678 0.70710678 0.00000000 0 1
1 183 10 963.06566683 3594.20999962 1420.00000000 0.25881905 0.96592583 0.00000000 0 1
1 184 10 -963.06566683 3594.20999962 1420.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 185 10 -2631.14433280 2631.14433280 1420.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 186 10 -3594.20999962 963.06566683 1420.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 187 10 -3594.20999962 -963.06566683 1420.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 188 10 -2631.14433280 -2631.14433280 1420.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 189 10 -963.06566683 -3594.20999962 1420.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 190 10 963.06566683 -3594.20999962 1420.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 191 10 2631.14433280 -2631.14433280 1420.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 192 10 3594.20999962 -963.06566683 1420.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 193 10 3594.20999962 963.06566683 2130.00000000 0.96592583 0.25881905 0.00000000 0 1
1 194 10 2631.14433280 2631.14433280 2130.00000000 0.70710678 0.70710678 0.00000000 0 1
1 195 10 963.06566683 3594.20999962 2130.00000000 0.25881905 0.96592583 0.00000000 0 1
1 196 10 -963.06566683 3594.20999962 2130.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 197 10 -2631.14433280 2631.14433280 2130.00000000 -0.70710678 0.70710678 0.00000000 0 1
1 198 10 -3594.20999962 963.06566683 2130.00000000 -0.96592583 0.25881905 0.00000000 0 1
1 199 10 -3594.20999962 -963.06566683 2130.00000000 -0.96592583 -0.25881905 0.00000000 0 1
1 200 10 -2631.14433280 -2631.14433280 2130.00000000 -0.70710678 -0.70710678 0.00000000 0 1
1 201 10 -963.06566683 -3594.20999962 2130.00000000 -0.25881905 -0.96592583 0.00000000 0 1
1 202 10 963.06566683 -3594.20999962 2130.00000000 0.25881905 -0.96592583 0.00000000 0 1
1 203 10 2631.14433280 -2631.14433280 2130.00000000 0.70710678 -0.70710678 0.00000000 0 1
1 204 10 3594.20999962 -963.06566683 2130.00000000 0.96592583 -0.25881905 0.00000000 0 1
1 205 10 3744.32504578 402.82868758 2485.00000000 0.96592583 0.25881905 0.00000000 0 1
1 206 10 3444.09495346 1523.30264607 2485.00000000 0.96592583 0.25881905 0.00000000 0 1
1 207 10 3041.26626588 2221.02239971 2485.00000000 0.70710678 0.70710678 0.00000000 0 1
1 208 10 2221.02239971 3041.26626588 2485.00000000 0.70710678 0.70710678 0.00000000 0 1
1 209 10 1523.30264607 3444.09495346 2485.00000000 0.25881905 0.96592583 0.00000000 0 1
1 210 10 402.82868758 3744.32504578 2485.00000000 0.25881905 0.96592583 0.00000000 0 1
1 211 10 -402.82868758 3744.32504578 2485.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 212 10 -1523.30264607 3444.09495346 2485.00000000 -0.25881905 0.96592583 0.00000000 0 1
1 213 10 -2221.02239971 3041.26626588 2485.00000000 -0.70710678 0.70710678 0.00000000 0 1
