PMT position table for custom PMT placement. The direction is just for reference but not used.
Type is used to specified which PMT to be placed in hybrid configuration
mPMTId will override the default numbering scheme
Section is: 0 = barrel, 1 = top cap, 2 = top border ring, 3 = bottom cap, 4 = bottom border ring

Type mPMTId Section  X(mm)  Y(mm)   Z(mm)          DirX         DirY        DirZ   Rotation(deg)  Use

#DATASTART
1 99 0 3103.54 1655.06 0 -0.83147 -0.55557 0 0 1
1 100 0 2716.75 2233.93 0 -0.83147 -0.55557 0 0 1
1 101 0 2233.93 2716.75 0 -0.55557 -0.83147 0 0 1
1 102 0 1655.06 3103.54 0 -0.55557 -0.83147 0 0 1
1 103 0 1024.22 3364.84 0 -0.19509 -0.980785 0 0 1
1 104 0 341.408 3500.66 0 -0.19509 -0.980785 0 0 1
1 105 0 -341.408 3500.66 0 0.19509 -0.980785 0 0 1
1 106 0 -1024.22 3364.84 0 0.19509 -0.980785 0 0 1
1 107 0 -1655.06 3103.54 0 0.55557 -0.83147 0 0 1
1 108 0 -2233.93 2716.75 0 0.55557 -0.83147 0 0 1
1 109 0 -2716.75 2233.93 0 0.83147 -0.55557 0 0 1
1 110 0 -3103.54 1655.06 0 0.83147 -0.55557 0 0 1
1 111 0 -3364.84 1024.22 0 0.980785 -0.19509 0 0 1
1 112 0 -3500.66 341.408 0 0.980785 -0.19509 0 0 1
1 113 0 -3500.66 -341.408 0 0.980785 0.19509 0 0 1
1 114 0 -3364.84 -1024.22 0 0.980785 0.19509 0 0 1
1 115 0 -3103.54 -1655.06 0 0.83147 0.55557 0 0 1
1 116 0 -2716.75 -2233.93 0 0.83147 0.55557 0 0 1
1 117 0 -2233.93 -2716.75 0 0.55557 0.83147 0 0 1
1 118 0 -1655.06 -3103.54 0 0.55557 0.83147 0 0 1
1 119 0 -1024.22 -3364.84 0 0.19509 0.980785 0 0 1
1 120 0 -341.408 -3500.66 0 0.19509 0.980785 0 0 1
1 121 0 341.408 -3500.66 0 -0.19509 0.980785 0 0 1
1 122 0 1024.22 -3364.84 0 -0.19509 0.980785 0 0 1
1 123 0 1655.06 -3103.54 0 -0.55557 0.83147 0 0 1
1 124 0 2233.93 -2716.75 0 -0.55557 0.83147 0 0 1
1 125 0 2716.75 -2233.93 0 -0.83147 0.55557 0 0 1
1 126 0 3103.54 -1655.06 0 -0.83147 0.55557 0 0 1
1 127 0 3364.84 -1024.22 0 -0.980785 0.19509 0 0 1
1 128 0 3500.66 -341.408 0 -0.980785 0.19509 0 0 1
1 129 0 3500.66 341.408 822.889 -0.980785 -0.19509 0 0 1
1 130 0 3364.84 1024.22 822.889 -0.980785 -0.19509 0 0 1
1 131 0 3103.54 1655.06 822.889 -0.83147 -0.55557 0 0 1
1 132 0 2716.75 2233.93 822.889 -0.83147 -0.55557 0 0 1
1 133 0 2233.93 2716.75 822.889 -0.55557 -0.83147 0 0 1
1 134 0 1655.06 3103.54 822.889 -0.55557 -0.83147 0 0 1
1 135 0 1024.22 3364.84 822.889 -0.19509 -0.980785 0 0 1
1 136 0 341.408 3500.66 822.889 -0.19509 -0.980785 0 0 1
1 137 0 -341.408 3500.66 822.889 0.19509 -0.980785 0 0 1
1 138 0 -1024.22 3364.84 822.889 0.19509 -0.980785 0 0 1
1 139 0 -1655.06 3103.54 822.889 0.55557 -0.83147 0 0 1
1 140 0 -2233.93 2716.75 822.889 0.55557 -0.83147 0 0 1
1 141 0 -2716.75 2233.93 822.889 0.83147 -0.55557 0 0 1
1 142 0 -3103.54 1655.06 822.889 0.83147 -0.55557 0 0 1
1 143 0 -3364.84 1024.22 822.889 0.980785 -0.19509 0 0 1
1 144 0 -3500.66 341.408 822.889 0.980785 -0.19509 0 0 1
1 145 0 -3500.66 -341.408 822.889 0.980785 0.19509 0 0 1
1 146 0 -3364.84 -1024.22 822.889 0.980785 0.19509 0 0 1
1 147 0 -3103.54 -1655.06 822.889 0.83147 0.55557 0 0 1
1 148 0 -2716.75 -2233.93 822.889 0.83147 0.55557 0 0 1
1 149 0 -2233.93 -2716.75 822.889 0.55557 0.83147 0 0 1
1 150 0 -1655.06 -3103.54 822.889 0.55557 0.83147 0 0 1
1 151 0 -1024.22 -3364.84 822.889 0.19509 0.980785 0 0 1
1 152 0 -341.408 -3500.66 822.889 0.19509 0.980785 0 0 1
1 153 0 341.408 -3500.66 822.889 -0.19509 0.980785 0 0 1
1 154 0 1024.22 -3364.84 822.889 -0.19509 0.980785 0 0 1
1 155 0 1655.06 -3103.54 822.889 -0.55557 0.83147 0 0 1
1 156 0 2233.93 -2716.75 822.889 -0.55557 0.83147 0 0 1
1 157 0 2716.75 -2233.93 822.889 -0.83147 0.55557 0 0 1
1 158 0 3103.54 -1655.06 822.889 -0.83147 0.55557 0 0 1
1 159 0 3364.84 -1024.22 822.889 -0.980785 0.19509 0 0 1
1 160 0 3500.66 -341.408 822.889 -0.980785 0.19509 0 0 1
1 161 0 3500.66 341.408 1645.78 -0.980785 -0.19509 0 0 1
1 162 0 3364.84 1024.22 1645.78 -0.980785 -0.19509 0 0 1
1 163 0 3103.54 1655.06 1645.78 -0.83147 -0.55557 0 0 1
1 164 0 2716.75 2233.93 1645.78 -0.83147 -0.55557 0 0 1
1 165 0 2233.93 2716.75 1645.78 -0.55557 -0.83147 0 0 1
1 166 0 1655.06 3103.54 1645.78 -0.55557 -0.83147 0 0 1
1 167 0 1024.22 3364.84 1645.78 -0.19509 -0.980785 0 0 1
1 168 0 341.408 3500.66 1645.78 -0.19509 -0.980785 0 0 1
1 169 0 -341.408 3500.66 1645.78 0.19509 -0.980785 0 0 1
1 170 0 -1024.22 3364.84 1645.78 0.19509 -0.980785 0 0 1
1 171 0 -1655.06 3103.54 1645.78 0.55557 -0.83147 0 0 1
1 172 0 -2233.93 2716.75 1645.78 0.55557 -0.83147 0 0 1
1 173 0 -2716.75 2233.93 1645.78 0.83147 -0.55557 0 0 1
1 174 0 -3103.54 1655.06 1645.78 0.83147 -0.55557 0 0 1
1 175 0 -3364.84 1024.22 1645.78 0.980785 -0.19509 0 0 1
1 176 0 -3500.66 341.408 1645.78 0.980785 -0.19509 0 0 1
1 177 0 -3500.66 -341.408 1645.78 0.980785 0.19509 0 0 1
1 178 0 -3364.84 -1024.22 1645.78 0.980785 0.19509 0 0 1
1 179 0 -3103.54 -1655.06 1645.78 0.83147 0.55557 0 0 1
1 180 0 -2716.75 -2233.93 1645.78 0.83147 0.55557 0 0 1
1 181 0 -2233.93 -2716.75 1645.78 0.55557 0.83147 0 0 1
1 182 0 -1655.06 -3103.54 1645.78 0.55557 0.83147 0 0 1
1 183 0 -1024.22 -3364.84 1645.78 0.19509 0.980785 0 0 1
1 184 0 -341.408 -3500.66 1645.78 0.19509 0.980785 0 0 1
1 185 0 341.408 -3500.66 1645.78 -0.19509 0.980785 0 0 1
1 186 0 1024.22 -3364.84 1645.78 -0.19509 0.980785 0 0 1
1 187 0 1655.06 -3103.54 1645.78 -0.55557 0.83147 0 0 1
1 188 0 2233.93 -2716.75 1645.78 -0.55557 0.83147 0 0 1
1 189 0 2716.75 -2233.93 1645.78 -0.83147 0.55557 0 0 1
1 190 0 3103.54 -1655.06 1645.78 -0.83147 0.55557 0 0 1
1 191 0 3364.84 -1024.22 1645.78 -0.980785 0.19509 0 0 1
1 192 0 3500.66 -341.408 1645.78 -0.980785 0.19509 0 0 1
1 193 0 3500.66 341.408 2468.67 -0.980785 -0.19509 0 0 1
1 194 0 3364.84 1024.22 2468.67 -0.980785 -0.19509 0 0 1
1 195 0 3103.54 1655.06 2468.67 -0.83147 -0.55557 0 0 1
1 196 0 2716.75 2233.93 2468.67 -0.83147 -0.55557 0 0 1
1 197 0 2233.93 2716.75 2468.67 -0.55557 -0.83147 0 0 1
1 198 0 1655.06 3103.54 2468.67 -0.55557 -0.83147 0 0 1
1 199 0 1024.22 3364.84 2468.67 -0.19509 -0.980785 0 0 1
1 200 0 341.408 3500.66 2468.67 -0.19509 -0.980785 0 0 1
1 201 0 -341.408 3500.66 2468.67 0.19509 -0.980785 0 0 1
1 202 0 -1024.22 3364.84 2468.67 0.19509 -0.980785 0 0 1
1 203 0 -1655.06 3103.54 2468.67 0.55557 -0.83147 0 0 1
1 204 0 -2233.93 2716.75 2468.67 0.55557 -0.83147 0 0 1
1 205 0 -2716.75 2233.93 2468.67 0.83147 -0.55557 0 0 1
1 206 0 -3103.54 1655.06 2468.67 0.83147 -0.55557 0 0 1
1 207 0 -3364.84 1024.22 2468.67 0.980785 -0.19509 0 0 1
1 208 0 -3500.66 341.408 2468.67 0.980785 -0.19509 0 0 1
1 209 0 -3500.66 -341.408 2468.67 0.980785 0.19509 0 0 1
1 210 0 -3364.84 -1024.22 2468.67 0.980785 0.19509 0 0 1
1 211 0 -3103.54 -1655.06 2468.67 0.83147 0.55557 0 0 1
1 212 0 -2716.75 -2233.93 2468.67 0.83147 0.55557 0 0 1
1 213 0 -2233.93 -2716.75 2468.67 0.55557 0.83147 0 0 1
1 214 0 -1655.06 -3103.54 2468.67 0.55557 0.83147 0 0 1
1 215 0 -1024.22 -3364.84 2468.67 0.19509 0.980785 0 0 1
1 216 0 -341.408 -3500.66 2468.67 0.19509 0.980785 0 0 1
1 217 0 341.408 -3500.66 2468.67 -0.19509 0.980785 0 0 1
1 218 0 1024.22 -3364.84 2468.67 -0.19509 0.980785 0 0 1
1 219 0 1655.06 -3103.54 2468.67 -0.55557 0.83147 0 0 1
1 220 0 2233.93 -2716.75 2468.67 -0.55557 0.83147 0 0 1
1 221 0 2716.75 -2233.93 2468.67 -0.83147 0.55557 0 0 1
1 222 0 3103.54 -1655.06 2468.67 -0.83147 0.55557 0 0 1
1 223 0 3364.84 -1024.22 2468.67 -0.980785 0.19509 0 0 1
1 224 0 3500.66 -341.408 2468.67 -0.980785 0.19509 0 0 1
1 225 1 -2835 -405 4000 0 0 -1 0 1
1 226 1 -2835 405 4000 0 0 -1 0 1
1 227 1 -2025 -1215 4000 0 0 -1 0 1
1 228 1 -2025 -405 4000 0 0 -1 0 1
1 229 1 -2025 405 4000 0 0 -1 0 1
1 230 1 -2025 1215 4000 0 0 -1 0 1
1 231 1 -1215 -2025 4000 0 0 -1 0 1
1 232 1 -1215 -1215 4000 0 0 -1 0 1
1 233 1 -1215 -405 4000 0 0 -1 0 1
1 234 1 -1215 405 4000 0 0 -1 0 1
1 235 1 -1215 1215 4000 0 0 -1 0 1
1 236 1 -1215 2025 4000 0 0 -1 0 1
1 237 1 -405 -2835 4000 0 0 -1 0 1
1 238 1 -405 -2025 4000 0 0 -1 0 1
1 239 1 -405 -1215 4000 0 0 -1 0 1
1 240 1 -405 -405 4000 0 0 -1 0 1
1 241 1 -405 405 4000 0 0 -1 0 1
1 242 1 -405 1215 4000 0 0 -1 0 1
1 243 1 -405 2025 4000 0 0 -1 0 1
1 244 1 -405 2835 4000 0 0 -1 0 1
1 245 1 405 -2835 4000 0 0 -1 0 1
1 246 1 405 -2025 4000 0 0 -1 0 1
1 247 1 405 -1215 4000 0 0 -1 0 1
