PMT position table for custom PMT placement. The direction is just for reference but not used.
Type is used to specified which PMT to be placed in hybrid configuration
mPMTId will override the default numbering scheme
Section is: 0 = barrel, 1 = top cap, 2 = top border ring, 3 = bottom cap, 4 = bottom border ring

Type mPMTId Section  X(mm)  Y(mm)   Z(mm)          DirX         DirY        DirZ   Rotation(deg)  Use

#DATASTART
1 108 0 -3502.1 452.933 -308.583 0.965926 -0.258819 0 0 1
1 109 0 -3502.1 -452.933 -308.583 0.965926 0.258819 0 0 1
1 110 0 -3259.38 -1358.8 -308.583 0.965926 0.258819 0 0 1
1 111 0 -2806.44 -2143.3 -308.583 0.707107 0.707107 0 0 1
1 112 0 -2143.3 -2806.44 -308.583 0.707107 0.707107 0 0 1
1 113 0 -1358.8 -3259.38 -308.583 0.258819 0.965926 0 0 1
1 114 0 -452.933 -3502.1 -308.583 0.258819 0.965926 0 0 1
1 115 0 452.933 -3502.1 -308.583 -0.258819 0.965926 0 0 1
1 116 0 1358.8 -3259.38 -308.583 -0.258819 0.965926 0 0 1
1 117 0 2143.3 -2806.44 -308.583 -0.707107 0.707107 0 0 1
1 118 0 2806.44 -2143.3 -308.583 -0.707107 0.707107 0 0 1
1 119 0 3259.38 -1358.8 -308.583 -0.965926 0.258819 0 0 1
1 120 0 3502.1 -452.933 -308.583 -0.965926 0.258819 0 0 1
1 121 0 3502.1 452.933 308.583 -0.965926 -0.258819 0 0 1
1 122 0 3259.38 1358.8 308.583 -0.965926 -0.258819 0 0 1
1 123 0 2806.44 2143.3 308.583 -0.707107 -0.707107 0 0 1
1 124 0 2143.3 2806.44 308.583 -0.707107 -0.707107 0 0 1
1 125 0 1358.8 3259.38 308.583 -0.258819 -0.965926 0 0 1
1 126 0 452.933 3502.1 308.583 -0.258819 -0.965926 0 0 1
1 127 0 -452.933 3502.1 308.583 0.258819 -0.965926 0 0 1
1 128 0 -1358.8 3259.38 308.583 0.258819 -0.965926 0 0 1
